iter	MultiClass
0	0.6295854681
1	0.4956304685
2	0.4335571582
3	0.3996538724
4	0.3816055846
5	0.3641633337
6	0.3552303013
7	0.3481657713
8	0.3415240168
9	0.3349152326
10	0.3303825225
11	0.3263480256
12	0.3237637669
13	0.3195077817
14	0.315584093
15	0.3117604985
16	0.3105816577
17	0.3063814806
18	0.3025099247
19	0.3011231167
20	0.2984711669
21	0.2911451257
22	0.2881837258
23	0.285756632
24	0.2836797986
25	0.2810228412
26	0.2790122321
27	0.2763275357
28	0.2736173277
29	0.269675198
30	0.2668981452
31	0.2642800816
32	0.2623513724
33	0.2616918426
34	0.2578723051
35	0.2564126728
36	0.2539135119
37	0.2535422064
38	0.2522489648
39	0.2512106007
40	0.2485716288
41	0.2481325277
42	0.2458243704
43	0.2443883019
44	0.2411474618
45	0.2404867626
46	0.2389328086
47	0.2372389336
48	0.2332061295
49	0.2314522246
50	0.229942378
51	0.2281699008
52	0.2274628521
53	0.2258413938
54	0.2232836322
55	0.2210394196
56	0.2192519104
57	0.2185297443
58	0.2170299758
59	0.2162010915
60	0.2142242144
61	0.2126625768
62	0.2104416298
63	0.2082890837
64	0.2063642775
65	0.2053712026
66	0.2041497278
67	0.2021905216
68	0.1998458103
69	0.1983256366
70	0.1973879957
71	0.1966915605
72	0.1950155013
73	0.193357039
74	0.1925907465
75	0.1917662892
76	0.1903779893
77	0.1891798048
78	0.187944899
79	0.1874387569
80	0.1868510121
81	0.1856004894
82	0.1841579301
83	0.1835896934
84	0.1823785618
85	0.181303826
86	0.1795109112
87	0.1792737138
88	0.1774380877
89	0.176356196
90	0.1754329625
91	0.174445563
92	0.1740073605
93	0.1735670633
94	0.1731170108
95	0.1725812316
96	0.1723235483
97	0.1712295401
98	0.1705496774
99	0.1689799694
