iter	Passed	Remaining
0	65	6456
1	70	3465
2	76	2463
3	84	2017
4	93	1768
5	99	1564
6	106	1415
7	113	1307
8	119	1209
9	125	1127
10	133	1078
11	139	1024
12	146	979
13	151	931
14	156	888
15	161	849
16	167	816
17	172	785
18	182	778
19	190	761
20	198	746
21	205	729
22	213	714
23	222	703
24	231	693
25	238	680
26	244	660
27	249	641
28	254	623
29	260	606
30	265	589
31	270	574
32	277	563
33	284	551
34	289	538
35	295	525
36	300	511
37	305	498
38	310	485
39	316	474
40	321	462
41	327	452
42	334	443
43	340	432
44	345	422
45	350	411
46	355	400
47	360	390
48	365	380
49	371	371
50	378	363
51	385	355
52	390	345
53	395	337
54	400	327
55	405	318
56	410	309
57	416	301
58	422	293
59	429	286
60	435	278
61	440	270
62	446	262
63	452	254
64	457	246
65	462	238
66	490	241
67	495	233
68	503	226
69	509	218
70	514	210
71	521	202
72	528	195
73	535	187
74	540	180
75	545	172
76	551	164
77	557	157
78	564	150
79	573	143
80	579	135
81	587	128
82	595	121
83	602	114
84	609	107
85	614	100
86	620	92
87	625	85
88	631	78
89	637	70
90	642	63
91	647	56
92	653	49
93	658	42
94	664	34
95	672	28
96	679	21
97	685	13
98	691	6
99	696	0
