,Id,v2a1,rooms,v14a,refrig,v18q,r4h3,r4m3,r4t1,escolari,rez_esc,hhsize,cielorazo,dis,male,female,hogar_adul,hogar_mayor,dependency,edjefe,edjefa,meaneduc,overcrowding,computer,television,area1,area2,age,Target,housesitu,educlevels,marital,rubbish,energy,toilets,floormat,wallmat,roofmat,floorqual,wallqual,roofqual,electric
0,ID_279628684,190000.0,3,1,1,0,1,0,0,10,0.0,1,1,0,1,0,1,0,no,10,no,10.0,1.0,0,0,1,0,43,4,Rented,Incomplete Acad. Secondary,Divorced,Tanker Truck,Gas,Sewer or Cesspool,"Mosaic, Ceramic",Block/Brick,Fiber cement,Bad,Regular,Bad,Public
1,ID_f29eb3ddd,135000.0,4,1,1,1,1,0,0,12,0.0,1,1,0,1,0,1,1,8,12,no,12.0,1.0,0,0,1,0,67,4,Rented,Undergrad.,Divorced,Tanker Truck,Electricity,Sewer or Cesspool,Wood,Wood,Metal foil/Zinc,Regular,Regular,Regular,Public
2,ID_68de51c94,0.0,8,1,1,0,0,1,0,11,0.0,1,1,1,0,1,1,1,8,no,11,11.0,0.5,0,0,1,0,92,4,Own,Complete Acad. Secondary,Widow/er,Tanker Truck,Electricity,Sewer or Cesspool,"Mosaic, Ceramic",Wood,Metal foil/Zinc,Good,Regular,Good,Public
3,ID_d671db89c,180000.0,5,1,1,1,2,2,1,9,1.0,4,1,0,1,0,2,0,yes,11,no,11.0,1.3333334,0,0,1,0,17,4,Rented,Incomplete Acad. Secondary,Single,Tanker Truck,Electricity,Sewer or Cesspool,"Mosaic, Ceramic",Block/Brick,Metal foil/Zinc,Good,Good,Good,Public
4,ID_d56d6f5f5,180000.0,5,1,1,1,2,2,1,11,0.0,4,1,0,0,1,2,0,yes,11,no,11.0,1.3333334,0,0,1,0,37,4,Rented,Complete Acad. Secondary,Free or coupled union,Tanker Truck,Electricity,Sewer or Cesspool,"Mosaic, Ceramic",Block/Brick,Metal foil/Zinc,Good,Good,Good,Public
5,ID_ec05b1a7b,180000.0,5,1,1,1,2,2,1,11,0.0,4,1,0,1,0,2,0,yes,11,no,11.0,1.3333334,0,0,1,0,38,4,Rented,Complete Acad. Secondary,Free or coupled union,Tanker Truck,Electricity,Sewer or Cesspool,"Mosaic, Ceramic",Block/Brick,Metal foil/Zinc,Good,Good,Good,Public
6,ID_e9e0c1100,180000.0,5,1,1,1,2,2,1,2,0.0,4,1,0,0,1,2,0,yes,11,no,11.0,1.3333334,0,0,1,0,8,4,Rented,Incomplete Primary,< 10 y/o,Tanker Truck,Electricity,Sewer or Cesspool,"Mosaic, Ceramic",Block/Brick,Metal foil/Zinc,Good,Good,Good,Public
7,ID_3e04e571e,130000.0,2,1,1,0,1,3,2,0,0.0,4,1,0,0,1,2,0,yes,9,no,10.0,4.0,0,0,1,0,7,4,Rented,None,< 10 y/o,Tanker Truck,Gas,Sewer or Cesspool,"Mosaic, Ceramic",Block/Brick,Metal foil/Zinc,Regular,Bad,Bad,Public
8,ID_1284f8aad,130000.0,2,1,1,0,1,3,2,9,0.0,4,1,0,1,0,2,0,yes,9,no,10.0,4.0,0,0,1,0,30,4,Rented,Incomplete Acad. Secondary,Free or coupled union,Tanker Truck,Gas,Sewer or Cesspool,"Mosaic, Ceramic",Block/Brick,Metal foil/Zinc,Regular,Bad,Bad,Public
9,ID_51f52fdd2,130000.0,2,1,1,0,1,3,2,11,0.0,4,1,0,0,1,2,0,yes,9,no,10.0,4.0,0,0,1,0,28,4,Rented,Complete Acad. Secondary,Free or coupled union,Tanker Truck,Gas,Sewer or Cesspool,"Mosaic, Ceramic",Block/Brick,Metal foil/Zinc,Regular,Bad,Bad,Public
10,ID_db44f5c59,130000.0,2,1,1,0,1,3,2,3,1.0,4,1,0,0,1,2,0,yes,9,no,10.0,4.0,0,0,1,0,11,4,Rented,Incomplete Primary,Single,Tanker Truck,Gas,Sewer or Cesspool,"Mosaic, Ceramic",Block/Brick,Metal foil/Zinc,Regular,Bad,Bad,Public
11,ID_de822510c,100000.0,3,1,1,0,0,2,0,12,0.0,2,1,0,0,1,1,0,yes,no,11,23.0,1.0,0,0,1,0,18,4,Own/Paying Instllmnts,Complete Techn. Secondary,Single,Tanker Truck,Electricity,Sewer or Cesspool,"Mosaic, Ceramic",Prefabricated/cement,Metal foil/Zinc,Good,Good,Good,Public
12,ID_d94071d7c,100000.0,3,1,1,0,0,2,0,11,0.0,2,1,0,0,1,1,0,yes,no,11,23.0,1.0,0,0,1,0,34,4,Own/Paying Instllmnts,Complete Acad. Secondary,Separated,Tanker Truck,Electricity,Sewer or Cesspool,"Mosaic, Ceramic",Prefabricated/cement,Metal foil/Zinc,Good,Good,Good,Public
13,ID_064b57869,0.0,4,1,1,1,1,1,0,4,0.0,2,0,0,0,1,2,1,yes,no,4,9.5,1.0,0,0,1,0,79,4,Own,Incomplete Primary,Widow/er,Tanker Truck,Electricity,Sewer or Cesspool,Cement,Prefabricated/cement,Metal foil/Zinc,Regular,Good,Good,Public
14,ID_5c837d8a4,0.0,4,1,1,1,1,1,0,15,0.0,2,0,0,1,0,2,1,yes,no,4,9.5,1.0,0,0,1,0,39,4,Own,Undergrad.,Single,Tanker Truck,Electricity,Sewer or Cesspool,Cement,Prefabricated/cement,Metal foil/Zinc,Regular,Good,Good,Public
15,ID_0a39e419e,90000.0,2,1,1,0,2,2,0,11,0.0,4,1,0,1,0,2,1,3,no,10,17.0,4.0,0,0,1,0,19,4,Rented,Complete Acad. Secondary,Separated,Tanker Truck,Electricity,Sewer or Cesspool,Wood,Wood,Metal foil/Zinc,Bad,Bad,Bad,Public
16,ID_4ff51f90c,90000.0,2,1,1,0,2,2,0,2,0.0,4,1,0,1,0,2,1,3,no,10,17.0,4.0,0,0,1,0,70,4,Rented,Incomplete Primary,Free or coupled union,Tanker Truck,Electricity,Sewer or Cesspool,Wood,Wood,Metal foil/Zinc,Bad,Bad,Bad,Public
17,ID_336c51386,90000.0,2,1,1,0,2,2,0,11,0.0,4,1,0,0,1,2,1,3,no,10,17.0,4.0,0,0,1,0,19,4,Rented,Complete Acad. Secondary,Single,Tanker Truck,Electricity,Sewer or Cesspool,Wood,Wood,Metal foil/Zinc,Bad,Bad,Bad,Public
18,ID_c51938edf,90000.0,2,1,1,0,2,2,0,10,0.0,4,1,0,0,1,2,1,3,no,10,17.0,4.0,0,0,1,0,50,4,Rented,Incomplete Acad. Secondary,Free or coupled union,Tanker Truck,Electricity,Sewer or Cesspool,Wood,Wood,Metal foil/Zinc,Bad,Bad,Bad,Public
19,ID_35b66f7c6,215000.0,4,1,1,0,1,1,0,12,0.0,2,1,0,0,1,2,0,no,15,no,13.5,1.0,0,0,1,0,22,4,Rented,Complete Techn. Secondary,Married,Tanker Truck,Gas,Sewer or Cesspool,"Mosaic, Ceramic",Block/Brick,Metal foil/Zinc,Good,Good,Good,Public
20,ID_74a2bc523,215000.0,4,1,1,0,1,1,0,15,0.0,2,1,0,1,0,2,0,no,15,no,13.5,1.0,0,0,1,0,26,4,Rented,Undergrad.,Married,Tanker Truck,Gas,Sewer or Cesspool,"Mosaic, Ceramic",Block/Brick,Metal foil/Zinc,Good,Good,Good,Public
21,ID_15d393ce7,150000.0,3,1,1,0,1,1,0,4,0.0,2,1,0,1,0,2,2,8,4,no,10.0,2.0,0,0,1,0,69,4,Rented,Incomplete Primary,Married,Tanker Truck,Electricity,Sewer or Cesspool,Wood,Wood,Metal foil/Zinc,Bad,Bad,Bad,Public
22,ID_a0bff0ba7,150000.0,3,1,1,0,1,1,0,16,0.0,2,1,0,0,1,2,2,8,4,no,10.0,2.0,0,0,1,0,66,4,Rented,Undergrad.,Married,Tanker Truck,Electricity,Sewer or Cesspool,Wood,Wood,Metal foil/Zinc,Bad,Bad,Bad,Public
23,ID_848b0fdf1,100000.0,1,0,1,0,2,1,0,6,0.0,3,1,0,1,0,3,0,no,6,no,10.333333,3.0,0,0,1,0,41,4,Rented,Complete Primary,Married,Tanker Truck,Electricity,None,"Mosaic, Ceramic",Block/Brick,Metal foil/Zinc,Good,Good,Good,Public
24,ID_298d857e5,100000.0,1,0,1,0,2,1,0,13,0.0,3,1,0,1,0,3,0,no,6,no,10.333333,3.0,0,0,1,0,20,4,Rented,Undergrad.,Separated,Tanker Truck,Electricity,None,"Mosaic, Ceramic",Block/Brick,Metal foil/Zinc,Good,Good,Good,Public
25,ID_1d5bf8ddf,100000.0,1,0,1,0,2,1,0,12,0.0,3,1,0,0,1,3,0,no,6,no,10.333333,3.0,0,0,1,0,40,4,Rented,Complete Techn. Secondary,Married,Tanker Truck,Electricity,None,"Mosaic, Ceramic",Block/Brick,Metal foil/Zinc,Good,Good,Good,Public
26,ID_e5cdba865,0.0,5,1,1,0,1,0,0,15,0.0,1,0,0,1,0,1,0,no,15,no,15.0,0.5,0,0,1,0,44,4,Own,Undergrad.,Single,Tanker Truck,Electricity,Sewer or Cesspool,Wood,Wood,Metal foil/Zinc,Regular,Regular,Regular,Public
27,ID_e18530139,120000.0,4,1,1,1,2,1,0,6,0.0,3,1,0,1,0,3,1,.5,6,no,6.666666499999999,1.5,0,1,1,0,69,4,Rented,Complete Primary,Married,Tanker Truck,Gas,Sewer or Cesspool,"Mosaic, Ceramic",Block/Brick,Metal foil/Zinc,Good,Good,Good,Public
28,ID_cba035c44,120000.0,4,1,1,1,2,1,0,6,0.0,3,1,0,0,1,3,1,.5,6,no,6.666666499999999,1.5,0,1,1,0,62,4,Rented,Complete Primary,Married,Tanker Truck,Gas,Sewer or Cesspool,"Mosaic, Ceramic",Block/Brick,Metal foil/Zinc,Good,Good,Good,Public
29,ID_b6c1c7e65,120000.0,4,1,1,1,2,1,0,8,0.0,3,1,0,1,0,3,1,.5,6,no,6.666666499999999,1.5,0,1,1,0,33,4,Rented,Incomplete Acad. Secondary,Single,Tanker Truck,Gas,Sewer or Cesspool,"Mosaic, Ceramic",Block/Brick,Metal foil/Zinc,Good,Good,Good,Public
